gen,nevals,med,min,max
0,25000,1.0373753077271034e+26,1.037369760283475e+26,inf
1,25000,1.0373753077287173e+26,1.0370182586936e+26,inf
2,25000,1.0373753077334708e+26,1.0160758668081442e+26,inf
3,25000,1.0373753077345177e+26,8.806317780332192e+25,2.912798466935136e+126
4,25000,1.0373753077306538e+26,1.0036853287508315e+26,inf
5,25000,1.0373753077156291e+26,4.77892288649494e+25,3.9021312182807046e+127
6,25000,1.0373753066947616e+26,4.77892288649494e+25,inf
7,25000,1.0373753040150865e+26,4.654384952107189e+25,inf
8,25000,1.0373753076952976e+26,7.174304154288429e+25,inf
9,25000,1.0373753055184859e+26,6.805235694849489e+25,inf
10,25000,1.0373753077264567e+26,6.805235694849489e+25,inf
11,25000,1.0373753074594215e+26,6.805235694849489e+25,inf
12,25000,1.0373753069601751e+26,4.423417249011797e+25,inf
13,25000,1.0373748671119645e+26,4.423217716056287e+25,inf
14,25000,1.0373753077270957e+26,7.107801810060489e+25,inf
15,25000,1.0373753077270158e+26,4.423217716056287e+25,3.4936572130384502e+143
16,25000,1.0373753077270957e+26,4.423417249011797e+25,inf
17,25000,1.0373753071931417e+26,4.423417249011797e+25,inf
18,25000,1.0373753076388226e+26,4.423314805395051e+25,inf
19,25000,1.0373753075564549e+26,5.940371252466347e+25,inf
20,25000,1.037375307563551e+26,6.783031100762262e+25,inf
21,25000,1.0373634962387206e+26,4.953844451112727e+25,inf
22,25000,1.0373741145864454e+26,4.42331480539505e+25,inf
23,25000,1.0373655870077946e+26,6.805235694849489e+25,inf
24,25000,1.0373622547081422e+26,6.170833087566512e+25,inf
25,25000,1.0373750427570436e+26,7.043858700367731e+25,inf
26,25000,1.037373895449911e+26,4.423314805395051e+25,inf
27,25000,1.0373707017089762e+26,4.423314805395051e+25,inf
28,25000,1.0373752981612287e+26,7.441482249408625e+25,inf
29,25000,1.0373712330095864e+26,4.423314805395051e+25,inf
30,25000,1.0369662864059561e+26,6.6391380476209185e+25,inf
31,25000,1.0372223883055423e+26,4.421997856522383e+25,inf
32,25000,1.0372223883055423e+26,4.421997856522383e+25,inf
33,25000,1.0373546209266836e+26,6.477738756073959e+25,inf
34,25000,1.0373480384327174e+26,4.6915948110184115e+25,1.7707630823952983e+194
35,25000,1.0372244715464905e+26,4.691593907768619e+25,2.4831127619508874e+141
36,25000,1.0373753077275057e+26,4.691520925021343e+25,3.873752842531501e+46
37,25000,1.037375307707449e+26,4.691117867400708e+25,inf
38,25000,1.0373753068765047e+26,7.230193036471461e+25,inf
39,25000,1.037310821832412e+26,8.20282595124396e+25,inf
40,25000,1.0373738641146912e+26,4.95459085692638e+25,inf
41,25000,1.0373482614156101e+26,8.20282595124396e+25,inf
42,25000,1.0373482614156101e+26,2.640083057833612e+25,inf
43,25000,1.0373740476075879e+26,2.640083057833612e+25,inf
