gen,nevals,med,min,max
44,25000,1.0373751227917404e+26,2.6360601318473395e+25,inf
45,25000,1.0373753076845234e+26,7.201158383363406e+25,1.033736611488954e+53
46,25000,1.037375307124535e+26,7.201158383363406e+25,2.391264731758534e+241
47,25000,1.0373481656106396e+26,7.200174537384684e+25,inf
48,25000,1.0372940350879315e+26,4.4234173417576876e+25,1.6832196737805462e+271
49,25000,1.0373480216905232e+26,4.953066737570509e+25,inf
50,25000,1.0373739395667441e+26,7.18576035488235e+25,inf
51,25000,1.03737477776106e+26,7.183400779464689e+25,4.681174780286696e+138
52,25000,1.0373686253950307e+26,6.990767415204001e+25,1.2088308465452064e+194
53,25000,1.0373752989653435e+26,2.64118205124799e+25,inf
54,25000,1.0373719322724808e+26,2.6148946236210327e+25,2.853826876337276e+161
55,25000,1.0373480771695525e+26,2.6148946236210327e+25,inf
56,25000,1.0373738189266285e+26,2.6222711450863297e+25,2.912798466935136e+126
57,25000,1.037245539246816e+26,2.6074484014228182e+25,9.432561285568128e+134
58,25000,1.0373738954521002e+26,2.6426574028630964e+25,inf
59,25000,1.0373180801927317e+26,2.641511320460818e+25,inf
60,25000,1.0369743849494269e+26,2.6432071881980053e+25,inf
61,25000,1.0373649774617056e+26,2.6236538752043614e+25,inf
62,25000,1.0373480011753041e+26,2.6236538752043614e+25,inf
63,25000,1.0373177222152471e+26,2.6236538752043614e+25,inf
64,25000,1.0373749546635194e+26,3.3574739000354588e+25,inf
65,25000,1.0373738954594113e+26,5.73401662962159e+25,inf
66,25000,1.0373723026935608e+26,6.471648692905351e+25,inf
67,25000,1.0373269439102604e+26,6.471406005906883e+25,inf
68,25000,1.0373738954594113e+26,5.742102814460316e+25,inf
69,24950,1.0373749546608745e+26,7.172647450866278e+25,inf
70,24950,1.0373738954572513e+26,6.471406005906883e+25,inf
71,24950,1.0373719707806637e+26,6.471880223733409e+25,inf
72,24950,1.0373738954575975e+26,6.471880223733409e+25,inf
73,24950,1.0373738954555283e+26,6.471880223733409e+25,inf
74,24950,1.0373065969583373e+26,4.423112206929189e+25,inf
75,24950,1.0373738954572358e+26,5.028814330549017e+25,inf
76,24950,1.0373749546624061e+26,4.607635274896208e+25,inf
77,24950,1.0373153978451955e+26,6.487407182654605e+25,inf
78,24950,1.0373584825914503e+26,6.66895616715841e+25,inf
79,24950,1.0373738954572922e+26,6.66895616715841e+25,inf
80,24950,1.0373080091155962e+26,5.271398221813516e+25,inf
81,24950,1.0373738954570652e+26,4.451010087169361e+25,8.410991488044212e+256
82,24950,1.0373474750783899e+26,4.4510100871672174e+25,1.3321995160189722e+248
83,24950,1.0373594315229496e+26,4.297185891370786e+25,inf
84,24950,1.0373738954618904e+26,6.661583623886813e+25,3.9248106202103604e+191
85,24950,1.0373738954555283e+26,6.66895616715841e+25,inf
86,24950,1.0373741673311926e+26,4.952474349901262e+25,inf
87,24950,1.0373738954576342e+26,7.163245152307303e+25,inf
88,24950,1.037259778888798e+26,6.661583623886813e+25,inf
89,24950,1.0373738954576342e+26,6.665493336165295e+25,inf
90,24950,1.0373750427465976e+26,5.028814330320387e+25,inf
91,24950,1.037375131195263e+26,8.54577869366246e+25,inf
92,24950,1.0373753076513373e+26,7.783625738859497e+25,inf
93,24950,1.037375307710744e+26,4.691520924973275e+25,inf
94,24950,1.0373738954576342e+26,6.665493336174229e+25,inf
95,24950,1.037373895456838e+26,7.34024869412453e+25,inf
96,24950,1.0373749546609044e+26,7.3402486940830254e+25,2.8082400801447838e+144
97,24950,1.0373753077309891e+26,7.1078018099969035e+25,inf
98,24950,1.0373753077297941e+26,4.462497048471485e+25,2.101016909490584e+234
99,24950,1.0373753077309702e+26,4.509773546690128e+25,inf
100,24950,1.0373753056020914e+26,8.903212699174462e+25,1.1253697303106432e+144
