gen,nevals,med,min,max
0,10000,2.2917513354906796e+24,2.2916498727467388e+24,inf
1,10000,2.291751335358335e+24,2.2357435807796723e+24,inf
2,10000,2.291751335418048e+24,2.243756058774007e+24,inf
3,10000,2.2917513351798394e+24,2.243205845337963e+24,1.3650239793341648e+152
4,10000,2.2917513354906646e+24,2.0949159008722068e+24,inf
5,10000,2.2917513335237202e+24,2.0248386956019038e+24,2.966031892660222e+135
6,10000,2.2917513354918022e+24,1.5504093390539097e+24,inf
7,10000,2.2918259804869254e+24,1.5504093390539097e+24,inf
8,10000,2.2917512394420865e+24,1.416364463977906e+24,inf
9,10000,2.2917510847353703e+24,1.1744604602528206e+24,inf
10,10000,2.2917513348781206e+24,1.8246625932176056e+24,inf
11,10000,2.2917513321597325e+24,1.7434215433929085e+24,inf
12,10000,2.291751335156142e+24,9.66852162148829e+23,inf
13,10000,2.2917513029551867e+24,9.66852162148829e+23,inf
14,10000,2.2917513352528198e+24,1.6983146649900991e+24,inf
15,10000,2.291751331893042e+24,1.7172758190820653e+24,inf
16,10000,2.2917513353763674e+24,1.7436774319515174e+24,inf
17,10000,2.2917513277804692e+24,9.784118804386297e+23,inf
18,10000,2.2917513345752876e+24,1.4251553339738402e+24,inf
19,10000,2.291728998847832e+24,9.784118804386297e+23,inf
20,10000,2.2917513352386944e+24,1.128781414944503e+24,inf
21,10000,2.291750916309541e+24,1.7077201082690595e+24,inf
22,10000,2.2917279513078461e+24,1.3106333468168574e+24,inf
23,10000,2.291751199484095e+24,1.0383383950788515e+24,inf
24,10000,2.2917513180007388e+24,1.0383383950788515e+24,2.7074128812882106e+171
25,10000,2.2916578447895697e+24,9.784118804386304e+23,inf
26,10000,2.2917513279689847e+24,1.2728997802903517e+24,inf
27,10000,2.2917512868310157e+24,1.3193034788758047e+24,9.656564504255339e+126
28,10000,2.291673805304397e+24,1.3193034786430593e+24,inf
29,10000,2.2917513318026733e+24,1.3193034789789545e+24,inf
30,10000,2.291739958028433e+24,1.3193034789789545e+24,inf
31,10000,2.2917513279713923e+24,1.319303479144468e+24,inf
32,10000,2.2916738051817034e+24,1.3193034789877546e+24,inf
33,10000,2.2916768527223575e+24,2.0855426624668504e+24,inf
34,10000,2.2917498820222393e+24,1.779572718903794e+24,inf
35,10000,2.2916560710796353e+24,8.79545628256788e+23,inf
36,10000,2.291751328913501e+24,1.1673034430913607e+24,inf
37,10000,2.2917493552255542e+24,1.1673034430913607e+24,inf
38,10000,2.2917513206442785e+24,1.3193034789598078e+24,inf
39,10000,2.2917508028591237e+24,1.3871196249426696e+24,inf
40,10000,2.290810578306349e+24,1.3871196249426696e+24,inf
41,10000,2.2916954413070395e+24,1.3193034789789545e+24,inf
42,10000,2.2917478078047692e+24,2.1402330950339184e+24,inf
43,10000,2.2916954413554612e+24,1.319303478969855e+24,9.656564504255339e+126
44,10000,2.2916725990451304e+24,1.4019484908234264e+24,inf
45,10000,2.2917513303640593e+24,2.0651976508952165e+24,inf
46,10000,2.2917513254651533e+24,1.3193034789789545e+24,5.0394542319555624e+126
47,10000,2.2917508029199522e+24,2.045752689641517e+24,inf
48,10000,2.291751290098333e+24,1.8962707774200694e+24,inf
49,10000,2.2916722556442758e+24,1.4951097836136565e+24,inf
50,10000,2.2917513270586533e+24,1.3978271399773412e+24,1.4524881221310075e+171
51,10000,2.2917341641758877e+24,1.319303478982834e+24,inf
52,10000,2.291743695035196e+24,1.4951097836136565e+24,1.2881200287368678e+283
53,10000,2.291606995777775e+24,1.8195666257307402e+24,inf
54,10000,2.2917436279877852e+24,1.319303478982834e+24,3.656583055158364e+252
55,10000,2.2917205803685064e+24,1.319303478982834e+24,inf
56,10000,2.2912677822336943e+24,1.3193034789092083e+24,inf
57,10000,2.2917451758434141e+24,1.3193034785777528e+24,inf
58,10000,2.2908175382378797e+24,1.3193034785777528e+24,inf
59,10000,2.2917513353551836e+24,1.8962707774238476e+24,inf
60,10000,2.291730762373655e+24,1.9322245691692514e+24,inf
61,10000,2.2917512889342281e+24,2.0279752050620182e+24,inf
62,10000,2.2917499864411924e+24,1.3193034789598078e+24,inf
63,10000,2.291668681621973e+24,1.3193034789598078e+24,inf
64,10000,2.2911897896391988e+24,1.2291825344147457e+24,inf
65,10000,2.291751332336096e+24,1.3193034789598078e+24,inf
66,10000,2.2917224651896804e+24,1.4951097891363903e+24,inf
67,10000,2.2916954412686854e+24,1.3270756019765435e+24,inf
68,10000,2.2916390428526885e+24,2.1195182052281483e+24,inf
69,10000,2.2915961196055367e+24,1.6615228505494143e+24,inf
70,10000,2.2916954412686854e+24,1.6615228505494143e+24,inf
71,10000,2.2911897896155193e+24,1.661522844547834e+24,inf
72,10000,2.2917499856160443e+24,1.7948870718603832e+24,inf
73,10000,2.2916722937042047e+24,1.9175312528290624e+24,inf
74,10000,2.2916954412686854e+24,1.1708868296469448e+24,inf
75,10000,2.2913345789710733e+24,2.0196683706042564e+24,inf
76,10000,2.2911517216661408e+24,1.8647292895656005e+24,inf
77,10000,2.2916722896557328e+24,1.2651076125611097e+24,inf
78,10000,2.2915020995479534e+24,1.2651076122426299e+24,inf
79,10000,2.291700134938905e+24,5.835902031877765e+23,inf
80,10000,2.2917256447734887e+24,5.835902031877765e+23,inf
81,10000,2.2917314105944167e+24,9.508076020493467e+23,inf
82,10000,2.2916722896557328e+24,9.508076022229392e+23,inf
83,10000,2.2917307624495717e+24,1.7299951216792217e+24,inf
84,10000,2.291730762353207e+24,2.1402330944781008e+24,inf
85,10000,2.291751332073368e+24,1.7948870718803822e+24,inf
86,10000,2.2917513303371258e+24,1.7948870718803822e+24,inf
87,10000,2.2917307620380406e+24,9.508076020536492e+23,inf
88,10000,2.2907908281248874e+24,9.508076020625973e+23,inf
89,10000,2.291006165722231e+24,1.1593983306476505e+24,inf
90,10000,2.2907746325129143e+24,9.508076020536492e+23,inf
91,10000,2.2897942792526417e+24,9.508076020536492e+23,inf
92,10000,2.2916722896557328e+24,1.159398329566869e+24,inf
93,10000,2.2917513335492285e+24,1.159398329566869e+24,inf
94,10000,2.291672289753153e+24,9.508076020536492e+23,inf
95,10000,2.2917251081382235e+24,1.7948870718762545e+24,inf
96,10000,2.2917513353693124e+24,1.6194857121094434e+24,inf
97,10000,2.2917501800762777e+24,7.886673174366921e+23,inf
98,10000,2.2917501799115942e+24,1.1593983163706912e+24,8.44238920000222e+170
99,10000,2.2917513135695072e+24,9.508076020625973e+23,inf
100,10000,2.2916722896557328e+24,1.1593981892314916e+24,inf
