gen,nevals,med,min,max
0,5000,4.1974964109439286e+26,4.1966328404116304e+26,inf
1,5000,4.1974964109559655e+26,4.1853294016482436e+26,inf
2,5000,4.1974964109582635e+26,4.1974963681371166e+26,inf
3,5000,4.1974964109582635e+26,4.197464087016391e+26,inf
4,5000,4.197496408869266e+26,4.197464087016391e+26,inf
5,5000,4.197496383940301e+26,4.19723794143279e+26,inf
6,5000,4.1974964109584216e+26,4.1974310033246866e+26,inf
7,5000,4.1974964109584216e+26,4.197431203109147e+26,inf
8,5000,4.1974964109289574e+26,4.134169616226988e+26,1.134822182956399e+132
9,5000,4.197496410942251e+26,4.197026392952279e+26,inf
10,5000,4.1974964130073065e+26,4.181734256671621e+26,inf
11,5000,4.197496490738467e+26,4.151609485410815e+26,5.471007446829037e+137
12,5000,4.1974964105249e+26,3.6552941338622976e+26,inf
13,5000,4.197496411358341e+26,3.199587539393029e+26,inf
14,5000,4.1974964109357854e+26,3.563007539393137e+26,inf
15,5000,4.197496410947836e+26,4.178022844926169e+26,inf
16,5000,4.19749641231627e+26,2.860311043617832e+26,inf
17,5000,4.197496410937693e+26,3.501375523071767e+26,5.057146568849923e+86
18,5000,4.19749641095452e+26,2.4895276996462618e+26,inf
19,5000,4.23209506041567e+26,2.9924460020742787e+26,inf
20,5000,4.27734600927522e+26,2.860311043617832e+26,inf
21,5000,1.0568725724044158e+27,1.944550220778103e+26,inf
22,5000,4.19819207674581e+26,2.7530399430359396e+26,inf
23,5000,4.236709018963013e+26,8.993057273313196e+25,inf
24,5000,4.19749641096053e+26,3.2036058851482344e+26,inf
25,5000,4.1974964109502866e+26,8.993057273313212e+25,inf
26,5000,4.1974964110741094e+26,3.6550030543795335e+26,3.422806794197555e+257
27,5000,4.1974964109616796e+26,2.7551896106805206e+26,inf
28,5000,4.197496410952612e+26,8.99305727331325e+25,inf
29,5000,4.197496410952227e+26,3.685822268544259e+26,inf
30,5000,4.197496410947083e+26,2.9924460020742787e+26,inf
31,5000,4.198939224995038e+26,3.5203132839854004e+26,inf
32,5000,4.197496410943861e+26,2.9924460020742787e+26,inf
33,5000,4.1974964098480736e+26,2.681219150633251e+26,inf
34,5000,4.189063765713872e+26,2.681219150633251e+26,inf
35,5000,4.197496410929671e+26,3.6767280038972864e+26,6.531963098791368e+86
36,5000,4.197496409862397e+26,2.9386870612358856e+26,inf
37,5000,4.1974964109444626e+26,2.4646258660202228e+26,inf
38,5000,4.1974964109296776e+26,3.0675656322244996e+26,inf
39,5000,4.197496410937895e+26,2.790151180121394e+26,3.3601471125540947e+112
40,5000,4.1974964109276916e+26,2.9924460020742787e+26,3.018889567194699e+80
41,5000,4.1974964109290605e+26,3.434139940455553e+26,1.4856015113830565e+51
42,5000,4.1974964109345175e+26,2.8239422822366593e+26,1.0731315559983254e+173
43,5000,4.19749641094393e+26,2.6488797945761668e+26,4.8833096720736894e+250
44,5000,4.1974964109290605e+26,2.6184033387678225e+26,inf
45,5000,4.1974964109405105e+26,2.6184033387678225e+26,7.405056485720203e+145
46,5000,4.19749641094393e+26,2.6272334674924248e+26,inf
47,5000,4.197496410943861e+26,3.76689707580009e+26,3.892773092500886e+246
48,5000,4.1975179739138055e+26,2.6292991069169433e+26,inf
